word_1_20241107_211617_869142|bhumikaa
word_2_20241107_211617_870142|nepaala
word_3_20241107_211617_871140|sambaidhaanik
word_4_20241107_211617_872140|rupamaa
word_5_20241107_211617_874139|bahubhashik
word_6_20241107_211617_875139|raasTra
word_7_20241107_211617_876137|ho
word_8_20241107_211617_876137|nepaalako
word_9_20241107_211617_877138|sambidhaanale
word_10_20241107_211617_877138|yahaakaa
word_11_20241107_211617_878137|sabai
word_12_20241107_211617_879136|bhaashaalaai
word_13_20241107_211617_879136|raasTra
word_14_20241107_211617_880136|bhaashaako
word_15_20241107_211617_881140|isthaana
word_16_20241107_211617_882134|diye
word_17_20241107_211617_883133|pani
word_18_20241107_211617_884133|nepaali
word_19_20241107_211617_885132|bhaashaalaai
word_20_20241107_211617_885132|sarkaari
word_21_20241107_211617_886132|kaamakaajako
word_22_20241107_211617_887131|bhaashaa
word_23_20241107_211617_888131|maaneko
word_24_20241107_211617_888131|cha
word_25_20241107_211617_889130|bidhyaalaya
word_26_20241107_211617_890130|sikshaako
word_27_20241107_211617_890130|paathyakramale
word_28_20241107_211617_891129|nepaali
word_29_20241107_211617_892128|bhaashaalaai
word_30_20241107_211617_893128|bidhyaalaya
word_31_20241107_211617_893128|sikshaamaa
word_32_20241107_211617_894127|kashyaa
word_33_20241107_211617_895127|dekhi
word_34_20241107_211617_895127|nai
word_35_20241107_211617_896126|aanibaarya
word_36_20241107_211617_896126|bishaya
word_37_20241107_211617_897125|maani
word_38_20241107_211617_898124|pathanapaathanako
word_39_20241107_211617_898643|maadhyaama
word_40_20241107_211617_900634|bhaashaasameta
word_41_20241107_211617_900634|maaneko
word_42_20241107_211617_901633|cha
word_43_20241107_211617_902633|nepaalako
word_44_20241107_211617_903632|dheraai
word_45_20241107_211617_904632|baalabaalikaale
word_46_20241107_211617_905631|aafno
word_47_20241107_211617_905631|maatribhaashaasangaii
word_48_20241107_211617_906631|doshro
word_49_20241107_211617_907630|bhaashaakaa
word_50_20241107_211617_907630|rupamaa
word_51_20241107_211617_908630|nepaali
word_52_20241107_211617_909629|bhaashaako
word_53_20241107_211617_910628|prayoga
word_54_20241107_211617_910628|garchhan
word_55_20241107_211617_911627|baalabaalikaalaaii
word_56_20241107_211617_912627|maatribhaashaa
word_57_20241107_211617_913630|wa
word_58_20241107_211617_914626|pahilo
word_59_20241107_211617_915625|bhaashaa
word_60_20241107_211617_916625|sikna
word_61_20241107_211617_916625|jati
word_62_20241107_211617_917627|sahaja
word_63_20241107_211617_918625|hunchha
word_64_20241107_211617_918625|doshro
word_65_20241107_211617_919624|bhaashaa
word_66_20241107_211617_920622|sikna
word_67_20241107_211617_920622|tyaati
word_68_20241107_211617_921622|sahaja
word_69_20241107_211617_921622|nahuna
word_70_20241107_211617_922621|sakchha
word_71_20241107_211617_923621|yasatartha
word_72_20241107_211617_924621|dosro
word_73_20241107_211617_924621|bhaashaakaa
word_74_20241107_211617_925620|rupamaa
word_75_20241107_211617_926619|nepaali
word_76_20241107_211617_926619|sikaauna
word_77_20241107_211617_927619|bibhinna
word_78_20241107_211617_927619|paddhati
word_79_20241107_211617_928618|ra
word_80_20241107_211617_929617|prakriyaa
word_81_20241107_211617_929617|aawa
word_82_20241107_211617_930616|syaaka
word_83_20241107_211617_931616|chha
word_84_20241107_211617_931616|bisheshata
word_85_20241107_211617_932615|tallaa
word_86_20241107_211617_935613|kakshyaakaa
word_87_20241107_211617_938612|baalabaalikaamaa
word_88_20241107_211617_939612|aafano
word_89_20241107_211617_941610|maatribhaashaako
word_90_20241107_211617_942610|upayoga
word_91_20241107_211617_943609|gardai
word_92_20241107_211617_943609|nepaali
word_93_20241107_211617_944609|bhaashaako
word_94_20241107_211617_955602|dakshyataa
word_95_20241107_211617_959600|bikaasaka
word_96_20241107_211617_959600|laagi
word_97_20241107_211617_961598|shikshyakale
word_98_20241107_211617_962597|sunera
word_99_20241107_211617_963598|garne
word_100_20241107_211617_963598|sunera
word_101_20241107_211617_964597|bhanne
word_102_20241107_211617_964597|pra
word_103_20241107_211617_965596|snottara
word_104_20241107_211617_966596|garne
word_105_20241107_211617_967595|kuraakaani
word_106_20241107_211617_968595|garne
word_107_20241107_211617_968595|chitrako
word_108_20241107_211617_970593|prayoga
word_109_20241107_211617_971594|garne
word_110_20241107_211617_972593|truti
word_111_20241107_211617_973592|sudhaarakaa
word_112_20241107_211617_975592|laagi
word_113_20241107_211617_976590|aabhyasa
word_114_20241107_211617_977589|garne
word_115_20241107_211617_977589|jasta
word_116_20241107_211617_978589|kriyaakalaapa
word_117_20241107_211617_979588|garaaunuparcha
word_118_20241107_211617_980587|yasakaa
word_119_20241107_211617_981587|laagi
word_120_20241107_211617_985585|maatribhaashaa
word_121_20241107_211617_986584|nepaali
word_122_20241107_211617_987584|nabhaekaa
word_123_20241107_211617_988583|baalabaalikaakaa
word_124_20241107_211617_990582|laagi
word_125_20241107_211617_991582|nepaali
word_126_20241107_211617_992581|bhaashaa
word_127_20241107_211617_993580|sikaaimaa
word_128_20241107_211617_994580|parekaa
word_129_20241107_211617_995580|samasyaa
word_130_20241107_211617_996579|pahichaana
word_131_20241107_211617_996579|gari
word_132_20241107_211617_997578|sikaai
word_133_20241107_211618_001576|sahajikaranda
word_134_20241107_211618_003575|garna
word_135_20241107_211618_004575|sikshyakalaaii
word_136_20241107_211618_004575|sahayoga
word_137_20241107_211618_005574|puryaaune
word_138_20241107_211618_006573|udde
word_139_20241107_211618_007572|shyale
word_140_20241107_211618_007572|yo
word_141_20241107_211618_008572|saamagrii
word_142_20241107_211618_009571|bikaasa
word_143_20241107_211618_010571|garieko
word_144_20241107_211618_011570|hoo
word_145_20241107_211618_011570|yasale
word_146_20241107_211618_012570|khaasa
word_147_20241107_211618_013569|bhaashika
word_148_20241107_211618_013569|sipa
word_149_20241107_211618_014569|bikaasabhanda
word_150_20241107_211618_015568|pani
word_151_20241107_211618_016568|kakshyaa
word_152_20241107_211618_017570|dekhi
word_153_20241107_211618_018568|tin
word_154_20241107_211618_019566|sammakaa
word_155_20241107_211618_020565|dosro
word_156_20241107_211618_021564|bhaashaakaa
word_157_20241107_211618_021564|rupamaa
word_158_20241107_211618_022566|nepaali
word_159_20241107_211618_023564|sikne
word_160_20241107_211618_024563|bidhyaarthilaaii
word_161_20241107_211618_024563|kendramaa
word_162_20241107_211618_025562|raakhi
word_163_20241107_211618_026562|bidhyaarthi
word_164_20241107_211618_026562|kendrit
word_165_20241107_211618_027561|kriyaakalaapa
word_166_20241107_211618_027561|garaauna
word_167_20241107_211618_028561|sikshyakamaa
word_168_20241107_211618_029560|gyaana
word_169_20241107_211618_029560|sipa
word_170_20241107_211618_039554|ra
word_171_20241107_211618_040554|dakshyataa
word_172_20241107_211618_040554|bikaasa
word_173_20241107_211618_041554|garne
word_174_20241107_211618_042552|aapekshyaa
word_175_20241107_211618_042552|garieko
word_176_20241107_211618_054546|chha
word_177_20241107_211618_055545|dosro
word_178_20241107_211618_056545|bhaashaakaa
word_179_20241107_211618_056545|rupamaa
word_180_20241107_211618_057544|nepaali
word_181_20241107_211618_060542|bhaashaa
word_182_20241107_211618_060542|sikaaikaa
word_183_20241107_211618_064541|laagi
word_184_20241107_211618_068538|sikshyanda
word_185_20241107_211618_071536|srotasaamagrii
word_186_20241107_211618_072536|bishayaako
word_187_20241107_211618_073535|yasa
word_188_20241107_211618_074535|saamagriiko
word_189_20241107_211618_075534|bikaasa
word_190_20241107_211618_075534|kaaryaama
word_191_20241107_211618_076533|daa
word_192_20241107_211618_076533|prema
word_193_20241107_211618_077533|fyaakale
word_194_20241107_211618_078532|sahajikaranda
word_195_20241107_211618_080530|garnubhaeko
word_196_20241107_211618_081530|ho
word_197_20241107_211618_085528|srotasaamagrii
word_198_20241107_211618_086527|bikaasa
word_199_20241107_211618_087527|kaarya
word_200_20241107_211618_087527|shrii
word_201_20241107_211618_088526|debi
word_202_20241107_211618_089526|dhimire
word_203_20241107_211618_089526|shree
word_204_20241107_211618_090526|bigendra
word_205_20241107_211618_091524|subabaa
word_206_20241107_211618_091524|shree
word_207_20241107_211618_092525|sachitaananda
word_208_20241107_211618_093532|ghimire
word_209_20241107_211618_094523|shree
word_210_20241107_211618_095530|tukaraaja
word_211_20241107_211618_095530|sadhikaarii
word_212_20241107_211618_096521|shree
word_213_20241107_211618_096521|gande
word_214_20241107_211618_097521|shaprasaada
word_215_20241107_211618_098521|bhattaraaii
word_216_20241107_211618_099519|shree
word_217_20241107_211618_100520|purushottama
word_218_20241107_211618_101519|ghimire
word_219_20241107_211618_103518|shree
word_220_20241107_211618_103518|chinaakumaari
word_221_20241107_211618_105516|niraulaa
word_222_20241107_211618_105516|ra
word_223_20241107_211618_106516|shree
word_224_20241107_211618_107516|indu
word_225_20241107_211618_110513|khanaala
word_226_20241107_211618_111512|sammilita
word_227_20241107_211618_112512|kaaryadalabaata
word_228_20241107_211618_113512|garieko
word_229_20241107_211618_113512|ho
word_230_20241107_211618_114511|yasa
word_231_20241107_211618_114511|kaaryaama
word_232_20241107_211618_115516|daa
word_233_20241107_211618_116510|susana
word_234_20241107_211618_117511|aacharya
word_235_20241107_211618_117511|shree
word_236_20241107_211618_118509|premaprasaada
word_237_20241107_211618_119509|bhaTaTaraai
word_238_20241107_211618_119509|shree
word_239_20241107_211618_120508|shangkara
word_240_20241107_211618_121507|aadhikaarii
word_241_20241107_211618_121507|shree
word_242_20241107_211618_122508|gaayatrii
word_243_20241107_211618_123506|timsinaa
word_244_20241107_211618_123506|shree
word_245_20241107_211618_124506|punyaa
word_246_20241107_211618_125505|ghimire
word_247_20241107_211618_125505|ra
word_248_20241107_211618_126504|shree
word_249_20241107_211618_126504|shaa
word_250_20241107_211618_127504|swata
word_251_20241107_211618_127504|paraajulibaaTa
word_252_20241107_211618_128503|wi
word_253_20241107_211618_129506|shesha
word_254_20241107_211618_129506|sahayoga
word_255_20241107_211618_130502|praapta
word_256_20241107_211618_131502|bhaeko
word_257_20241107_211618_131502|ho
word_258_20241107_211618_132501|yasako
word_259_20241107_211618_133501|thapa
word_260_20241107_211618_133501|parimaarjaana
word_261_20241107_211618_134500|tathaa
word_262_20241107_211618_135499|sampaadana
word_263_20241107_211618_135499|kaarya
word_264_20241107_211618_136499|lekhaka
word_265_20241107_211618_142495|samuhasahita
word_266_20241107_211618_142495|pathyakrama
word_267_20241107_211618_143497|bikaasa
word_268_20241107_211618_146493|kendrakaa
word_269_20241107_211618_147492|mahaanirdeshaka
word_270_20241107_211618_148492|daa
word_271_20241107_211618_156486|lekhanaatha
word_272_20241107_211618_157487|paudela
word_273_20241107_211618_158486|praa
word_274_20241107_211618_159485|daa
word_275_20241107_211618_160485|rameshprasada
word_276_20241107_211618_162484|bhaTaTaraai
word_277_20241107_211618_163483|daa
word_278_20241107_211618_164482|nawaraaja
word_279_20241107_211618_166482|kaTTEla
word_280_20241107_211618_168481|daa
word_281_20241107_211618_170480|jaanukaa
word_282_20241107_211618_171479|nepaala
word_283_20241107_211618_172478|daa
word_284_20241107_211618_173479|gitaa
word_285_20241107_211618_174477|kharela
word_286_20241107_211618_175477|shree
word_287_20241107_211618_176476|bishndu
word_288_20241107_211618_176476|gyawaali
word_289_20241107_211618_177476|ra
word_290_20241107_212335_883191|nepaala
word_291_20241107_212335_884183|bahubhashik
word_292_20241107_212335_885180|desha
word_293_20241107_212335_886179|ho
word_294_20241107_212335_887179|yasartha
word_295_20241107_212335_888179|haamraa
word_296_20241107_212335_888179|bidhyalayaharumaa
word_297_20241107_212335_889192|bibhinna
word_298_20241107_212335_890187|bhaashika
word_299_20241107_212335_891187|samudaayakaa
word_300_20241107_212335_892189|bidhyaarthi
word_301_20241107_212335_892189|aauchhana
word_302_20241107_212335_894186|bidhyaalayakaa
word_303_20241107_212335_895185|aadhikaam
word_304_20241107_212335_899185|sha
